"vzRMeAg4Oi8__kl-trunc-name","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","rllt__details 4","BI0Dve"
"די ג׳יי איציק גודדי - Dj Itzik Goodady","5.0","(3)","די ג׳יי איציק גודדי - Dj Itzik Goodady","· תקליטן","5.0","(3)","ירושלים ·","052-267-9907","https://www.djgoodady.com/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","",""
"","","","די ג׳יי מנשה - DJ - תקליטן","· תקליטן","4.9","(8)","מעל 7 שנות פעילות ·","050-818-3001","","","","","פתוח 24 שעות",""
"atisuto | אטיסוטו","4.8","(66)","atisuto | אטיסוטו","· תקליטן","4.8","(66)","מעל 7 שנות פעילות · קרקע ·","050-802-5454","http://www.atisuto.com/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח ⋅ ייסגר בשעה 19:00","קבלת קהל במקום"
"נועם זלאיט | די ג'יי לחתונה | תקליטן לחתונה","5.0","(27)","נועם זלאיט | די ג'יי לחתונה | תקליטן לחתונה","· תקליטן","5.0","(27)","מעל 5 שנות פעילות · בני ברק ·","052-293-9295","http://www.kookoodjs.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח ⋅ ייסגר בשעה 22:00","קבלת קהל במקום"
"אולפן הקלטות | תקליטן אירועים - לאנשים שחושבים מחוץ לקופסה.","5.0","(209)","אולפן הקלטות | תקליטן אירועים - לאנשים שחושבים מחוץ לקופסה.","· תקליטן","5.0","(209)","מודיעין מכבים רעות ·","058-755-5456","https://www.yakircohen.com/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח ⋅ ייסגר בשעה 20:00","איסוף מחוץ לחנות"
"קאלופה (תקליטן לחתונה / תקליטן לחתונות / DJ לחתונה / די ג'יי לאירועים)","5.0","(9)","קאלופה (תקליטן לחתונה / תקליטן לחתונות / DJ לחתונה / די ג'יי לאירועים)","· תקליטן","5.0","(9)","מעל 3 שנות פעילות · שוהם ·","03-797-9595","https://kalopa.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
"אקפלה תקליטנים","4.9","(24)","אקפלה תקליטנים","· תקליטן","4.9","(24)","מעל 5 שנות פעילות · רמת גן ·","1-700-708-702","","","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
"די ג'יי פרדי - Dj Fredi - תקליטן לחתונה","5.0","(11)","די ג'יי פרדי - Dj Fredi - תקליטן לחתונה","· תקליטן","5.0","(11)","מעל 10 שנות פעילות · נופך ·","052-837-4747","http://www.xn----8hcchdfudzo2e9ai.com/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
"אינקוגניטו מוסיקה (2002) בע""מ","5.0","(2)","אינקוגניטו מוסיקה (2002) בע""מ","· תקליטן","5.0","(2)","מעל 10 שנות פעילות · ירושלים ·","1-800-283-283","","","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","",""
"PNB Music","5.0","(57)","PNB Music","· תקליטן","5.0","(57)","מעל 10 שנות פעילות · רמת גן ·","054-430-1708","http://www.pnbmusic.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
