mispar_mosah|shem_mosah|cod_sug_mosah|sug_mosah|ktovet|yishuv|telephone|mikud|cod_miktzoa|miktzoa|menahel_miktzoa|rasham_havarot
"43"|"מוסך ויזמות א.ש.חקלאית בע מ"|"3"|"מוסך רישוי לציוד חקלאי"|"ד.נ.  חוף אשקלון"|"זיקים"|"08-6746416"|"79140"|"172"|"מוסך רישוי לציוד חקלאי"|"דהרי מנחם"|"570037424"
"43"|"מוסך ויזמות א.ש.חקלאית בע מ"|"3"|"מוסך רישוי לציוד חקלאי"|"ד.נ.  חוף אשקלון"|"זיקים"|"08-6746416"|"79140"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"דהרי מנחם"|"570037424"
"43"|"מוסך ויזמות א.ש.חקלאית בע מ"|"3"|"מוסך רישוי לציוד חקלאי"|"ד.נ.  חוף אשקלון"|"זיקים"|"08-6746416"|"79140"|"190"|"טרקטורים ומכונות ניידות"|"דהרי מנחם"|"570037424"
"43"|"מוסך ויזמות א.ש.חקלאית בע מ"|"3"|"מוסך רישוי לציוד חקלאי"|"ד.נ.  חוף אשקלון"|"זיקים"|"08-6746416"|"79140"|"191"|"תיקון טרקטורונים"|"דהרי מנחם"|"570037424"
"43"|"מוסך ויזמות א.ש.חקלאית בע מ"|"3"|"מוסך רישוי לציוד חקלאי"|"ד.נ.  חוף אשקלון"|"זיקים"|"08-6746416"|"79140"|"194"|"תיקון מלגזות הרמה"|"דהרי מנחם"|"570037424"
"43"|"מוסך ויזמות א.ש.חקלאית בע מ"|"3"|"מוסך רישוי לציוד חקלאי"|"ד.נ.  חוף אשקלון"|"זיקים"|"08-6746416"|"79140"|"205"|"שירות תיקון למזגן אויר לרכב"|"דהרי מנחם"|"570037424"
"72"|"כפר מנחם מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ עמק שורק"|"כפר מנחם"|"08-8508422"|"79875"|"10"|"מכונאות רכב בנזין"|"הרכבי מאיר"|"570002063"
"72"|"כפר מנחם מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ עמק שורק"|"כפר מנחם"|"08-8508422"|"79875"|"20"|"מכונאות רכב דיזל"|"הרכבי מאיר"|"570002063"
"72"|"כפר מנחם מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ עמק שורק"|"כפר מנחם"|"08-8508422"|"79875"|"190"|"טרקטורים ומכונות ניידות"|"הרכבי מאיר"|"570002063"
"72"|"כפר מנחם מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ עמק שורק"|"כפר מנחם"|"08-8508422"|"79875"|"194"|"תיקון מלגזות הרמה"|"הרכבי מאיר"|"570002063"
"76"|"אחזקות שובל אגש ח בע מ  - מוסך"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"שובל"|"08-9916217"|"85320"|"10"|"מכונאות רכב בנזין"|"עין גדי טל"|"570005033"
"76"|"אחזקות שובל אגש ח בע מ  - מוסך"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"שובל"|"08-9916217"|"85320"|"20"|"מכונאות רכב דיזל"|"אילסון שגיא"|"570005033"
"76"|"אחזקות שובל אגש ח בע מ  - מוסך"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"שובל"|"08-9916217"|"85320"|"30"|"חשמלאות רכב"|"עין גדי טל"|"570005033"
"76"|"אחזקות שובל אגש ח בע מ  - מוסך"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"שובל"|"08-9916217"|"85320"|"190"|"טרקטורים ומכונות ניידות"|"אורבך אליעזר"|"570005033"
"76"|"אחזקות שובל אגש ח בע מ  - מוסך"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"שובל"|"08-9916217"|"85320"|"194"|"תיקון מלגזות הרמה"|"אורבך אליעזר"|"570005033"
"80"|"מרכז שרות יד מרדכי אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ חוף אשקלון"|"יד מרדכי"|"08-6720513"|"79145"|"10"|"מכונאות רכב בנזין"|"שטרנברג ערן"|"570038091"
"80"|"מרכז שרות יד מרדכי אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ חוף אשקלון"|"יד מרדכי"|"08-6720513"|"79145"|"20"|"מכונאות רכב דיזל"|"שטרנברג ערן"|"570038091"
"80"|"מרכז שרות יד מרדכי אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ חוף אשקלון"|"יד מרדכי"|"08-6720513"|"79145"|"30"|"חשמלאות רכב"|"שטרנברג ערן"|"570038091"
"80"|"מרכז שרות יד מרדכי אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ חוף אשקלון"|"יד מרדכי"|"08-6720513"|"79145"|"130"|"תיקון והחלפת צמיגים"|"שטרנברג דב"|"570038091"
"80"|"מרכז שרות יד מרדכי אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ חוף אשקלון"|"יד מרדכי"|"08-6720513"|"79145"|"190"|"טרקטורים ומכונות ניידות"|"שטרנברג ערן"|"570038091"
"80"|"מרכז שרות יד מרדכי אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ חוף אשקלון"|"יד מרדכי"|"08-6720513"|"79145"|"194"|"תיקון מלגזות הרמה"|"שטרנברג ערן"|"570038091"
"80"|"מרכז שרות יד מרדכי אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ חוף אשקלון"|"יד מרדכי"|"08-6720513"|"79145"|"205"|"שירות תיקון למזגן אויר לרכב"|"שטרנברג ערן"|"570038091"
"81"|"אחזקות  אורים אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ . הנגב"|"אורים"|"08-9920233"|"85530"|"10"|"מכונאות רכב בנזין"|"אהרון ישראל"|"570032490"
"81"|"אחזקות  אורים אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ . הנגב"|"אורים"|"08-9920233"|"85530"|"20"|"מכונאות רכב דיזל"|"אהרון ישראל"|"570032490"
"81"|"אחזקות  אורים אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ . הנגב"|"אורים"|"08-9920233"|"85530"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"אהרון ישראל"|"570032490"
"81"|"אחזקות  אורים אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ . הנגב"|"אורים"|"08-9920233"|"85530"|"190"|"טרקטורים ומכונות ניידות"|"אהרון ישראל"|"570032490"
"81"|"אחזקות  אורים אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ . הנגב"|"אורים"|"08-9920233"|"85530"|"191"|"תיקון טרקטורונים"|"אהרון ישראל"|"570032490"
"81"|"אחזקות  אורים אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ . הנגב"|"אורים"|"08-9920233"|"85530"|"194"|"תיקון מלגזות הרמה"|"אהרון ישראל"|"570032490"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"10"|"מכונאות רכב בנזין"|"וויס שמואל"|"570050005"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"20"|"מכונאות רכב דיזל"|"וויס שמואל"|"570050005"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"22"|"מכונאות רכב גפ מ"|"וויס שמואל"|"570050005"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"23"|"תיקון אחזקת רכב חשמלי/היברידי"|"וייס שמואל"|"570050005"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"30"|"חשמלאות רכב"|"וייס שמואל"|"570050005"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"70"|"תיקון מרכבי רכב"|"איזמאלוב סרגיי"|"570050005"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"100"|"צבעות רכב"|"איזמאילוב סרגיי"|"570050005"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"130"|"תיקון והחלפת צמיגים"|"וויס שמואל"|"570050005"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"150"|"מכונאות אופנועים וקטנועים"|"דבורי יוגב"|"570050005"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"190"|"טרקטורים ומכונות ניידות"|"וייס שמואל"|"570050005"
"84"|"בארי יזמויות א.ג.שח בע מ"|"6"|"מוסך מורשה"|"ד.נ. הנגב בארי"|"בארי"|"08-9949468"|"85135"|"205"|"שירות תיקון למזגן אויר לרכב"|"דבורי יוגב"|"570050005"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"10"|"מכונאות רכב בנזין"|"ויגדורוביץ רוני"|"520019373"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"20"|"מכונאות רכב דיזל"|"ויגדורוביץ רוני"|"520019373"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"שניאור אלי"|"520019373"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"30"|"חשמלאות רכב"|"עמר יניב"|"520019373"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"130"|"תיקון והחלפת צמיגים"|"לייב איתן"|"520019373"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"170"|"בדיקות עשן ברכב דיזל"|"זפרני חנניה"|"520019373"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"171"|"מוסך רישוי לשרות עצמי"|"זפרני חנניה"|"520019373"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"שניאור אלי"|"520019373"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"190"|"טרקטורים ומכונות ניידות"|"שניאור אלי"|"520019373"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"194"|"תיקון מלגזות הרמה"|"שניאור אלי"|"520019373"
"91"|"מפעלי ים המלח בע מ סדום"|"4"|"מוסך רישוי לשרות עצמי"|"ת.ד.75 מוסך רכב קל"|"באר שבע"|"08-9977913"|"84100"|"205"|"שירות תיקון למזגן אויר לרכב"|"עמר יניב"|"520019373"
"93"|"אבו סביח אמין - צמיגי בקעה"|"6"|"מוסך מורשה"|"דרך בית לחם 11"|"ירושלים"|"02-6481555"|"93553"|"130"|"תיקון והחלפת צמיגים"|"אבו סביח אמין"|"029237831"
"103"|"פנצרית צומת המהפך"|"6"|"מוסך מורשה"|"צומת שמשון ד.נ. שמשון"|"בית שמש"|"02-9917907"|"99000"|"130"|"תיקון והחלפת צמיגים"|"חזן שמעון"|"510590896"
"121"|"חברת נמל אילת בע מ"|"6"|"מוסך מורשה"|"נמל אילת ת.ד.37"|"אילת"|"08-6358395"|"88100"|"10"|"מכונאות רכב בנזין"|"כהן אשר"|"513569764"
"121"|"חברת נמל אילת בע מ"|"6"|"מוסך מורשה"|"נמל אילת ת.ד.37"|"אילת"|"08-6358395"|"88100"|"20"|"מכונאות רכב דיזל"|"כהן אשר"|"513569764"
"121"|"חברת נמל אילת בע מ"|"6"|"מוסך מורשה"|"נמל אילת ת.ד.37"|"אילת"|"08-6358395"|"88100"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"כהן אשר"|"513569764"
"121"|"חברת נמל אילת בע מ"|"6"|"מוסך מורשה"|"נמל אילת ת.ד.37"|"אילת"|"08-6358395"|"88100"|"130"|"תיקון והחלפת צמיגים"|"כהן אשר"|"513569764"
"121"|"חברת נמל אילת בע מ"|"6"|"מוסך מורשה"|"נמל אילת ת.ד.37"|"אילת"|"08-6358395"|"88100"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"כהן אשר"|"513569764"
"121"|"חברת נמל אילת בע מ"|"6"|"מוסך מורשה"|"נמל אילת ת.ד.37"|"אילת"|"08-6358395"|"88100"|"190"|"טרקטורים ומכונות ניידות"|"כהן אשר"|"513569764"
"121"|"חברת נמל אילת בע מ"|"6"|"מוסך מורשה"|"נמל אילת ת.ד.37"|"אילת"|"08-6358395"|"88100"|"191"|"תיקון טרקטורונים"|"כהן אשר"|"513569764"
"121"|"חברת נמל אילת בע מ"|"6"|"מוסך מורשה"|"נמל אילת ת.ד.37"|"אילת"|"08-6358395"|"88100"|"194"|"תיקון מלגזות הרמה"|"כהן אשר"|"513569764"
"128"|"מוסך וייסמן בע מ"|"6"|"מוסך מורשה"|"פנחס החוצב 1 ת.ד 17270"|"באר שבע"|"08-6277898"|"84890"|"10"|"מכונאות רכב בנזין"|"ויסמן הרי"|"511047680"
"128"|"מוסך וייסמן בע מ"|"6"|"מוסך מורשה"|"פנחס החוצב 1 ת.ד 17270"|"באר שבע"|"08-6277898"|"84890"|"20"|"מכונאות רכב דיזל"|"ויסמן הרי"|"511047680"
"128"|"מוסך וייסמן בע מ"|"6"|"מוסך מורשה"|"פנחס החוצב 1 ת.ד 17270"|"באר שבע"|"08-6277898"|"84890"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"וייסמן הרי"|"511047680"
"130"|"מוסך המחדש - אסעדון חנן"|"6"|"מוסך מורשה"|"הנגרים 10 ת ד 281"|"באר שבע"|"08-6234886"|"84890"|"70"|"תיקון מרכבי רכב"|"ביטון יוסף"|"055686497"
"130"|"מוסך המחדש - אסעדון חנן"|"6"|"מוסך מורשה"|"הנגרים 10 ת ד 281"|"באר שבע"|"08-6234886"|"84890"|"100"|"צבעות רכב"|"ביטון יוסף"|"055686497"
"144"|"מוסך מסמיה מ.י בע מ"|"6"|"מוסך מורשה"|"מסמיה ד.נ שקמים"|"בני ראם"|"08-8583568"|"79835"|"10"|"מכונאות רכב בנזין"|"תמיר בנימין"|"511076465"
"144"|"מוסך מסמיה מ.י בע מ"|"6"|"מוסך מורשה"|"מסמיה ד.נ שקמים"|"בני ראם"|"08-8583568"|"79835"|"20"|"מכונאות רכב דיזל"|"תמיר בנימין"|"511076465"
"144"|"מוסך מסמיה מ.י בע מ"|"6"|"מוסך מורשה"|"מסמיה ד.נ שקמים"|"בני ראם"|"08-8583568"|"79835"|"22"|"מכונאות רכב גפ מ"|"תמיר בנימין"|"511076465"
"144"|"מוסך מסמיה מ.י בע מ"|"6"|"מוסך מורשה"|"מסמיה ד.נ שקמים"|"בני ראם"|"08-8583568"|"79835"|"23"|"תיקון אחזקת רכב חשמלי/היברידי"|"בכור עודד"|"511076465"
"144"|"מוסך מסמיה מ.י בע מ"|"6"|"מוסך מורשה"|"מסמיה ד.נ שקמים"|"בני ראם"|"08-8583568"|"79835"|"30"|"חשמלאות רכב"|"בכור עודד"|"511076465"
"144"|"מוסך מסמיה מ.י בע מ"|"6"|"מוסך מורשה"|"מסמיה ד.נ שקמים"|"בני ראם"|"08-8583568"|"79835"|"70"|"תיקון מרכבי רכב"|"אלנסאסרה אמין"|"511076465"
"144"|"מוסך מסמיה מ.י בע מ"|"6"|"מוסך מורשה"|"מסמיה ד.נ שקמים"|"בני ראם"|"08-8583568"|"79835"|"100"|"צבעות רכב"|"אלנסאסרה אמין"|"511076465"
"144"|"מוסך מסמיה מ.י בע מ"|"6"|"מוסך מורשה"|"מסמיה ד.נ שקמים"|"בני ראם"|"08-8583568"|"79835"|"205"|"שירות תיקון למזגן אויר לרכב"|"תמיר בנימין"|"511076465"
"155"|"מוסך רמ ר (1987)בע מ"|"6"|"מוסך מורשה"|"המרכבה 15"|"אשקלון"|"08-6759995"|"78359"|"10"|"מכונאות רכב בנזין"|"קאבח יאיר"|"511188773"
"155"|"מוסך רמ ר (1987)בע מ"|"6"|"מוסך מורשה"|"המרכבה 15"|"אשקלון"|"08-6759995"|"78359"|"20"|"מכונאות רכב דיזל"|"קאפח יאיר"|"511188773"
"156"|"סול טסט בע מ"|"1"|"מכון רישוי"|"אליהו נאוי 6"|"באר שבע"|"08-6279152"|"84890"|"170"|"בדיקות עשן ברכב דיזל"|"אוחיון ראובן"|"511165102"
"156"|"סול טסט בע מ"|"1"|"מכון רישוי"|"אליהו נאוי 6"|"באר שבע"|"08-6279152"|"84890"|"181"|"מכון רישוי-פתוח לשרות הציבור"|"אוחיון ראובן"|"511165102"
"170"|"מפעלי תובלה בע מ"|"6"|"מוסך מורשה"|"פליקס זנדמן 1"|"דימונה"|"08-6821312"|"86119"|"10"|"מכונאות רכב בנזין"|"חדד ניסים"|"520025479"
"170"|"מפעלי תובלה בע מ"|"6"|"מוסך מורשה"|"פליקס זנדמן 1"|"דימונה"|"08-6821312"|"86119"|"20"|"מכונאות רכב דיזל"|"חדד ניסים"|"520025479"
"170"|"מפעלי תובלה בע מ"|"6"|"מוסך מורשה"|"פליקס זנדמן 1"|"דימונה"|"08-6821312"|"86119"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"חדד ניסים"|"520025479"
"170"|"מפעלי תובלה בע מ"|"6"|"מוסך מורשה"|"פליקס זנדמן 1"|"דימונה"|"08-6821312"|"86119"|"30"|"חשמלאות רכב"|"זוילי טיראן"|"520025479"
"170"|"מפעלי תובלה בע מ"|"6"|"מוסך מורשה"|"פליקס זנדמן 1"|"דימונה"|"08-6821312"|"86119"|"190"|"טרקטורים ומכונות ניידות"|"חדד ניסים"|"520025479"
"170"|"מפעלי תובלה בע מ"|"6"|"מוסך מורשה"|"פליקס זנדמן 1"|"דימונה"|"08-6821312"|"86119"|"194"|"תיקון מלגזות הרמה"|"חדד ניסים"|"520025479"
"170"|"מפעלי תובלה בע מ"|"6"|"מוסך מורשה"|"פליקס זנדמן 1"|"דימונה"|"08-6821312"|"86119"|"205"|"שירות תיקון למזגן אויר לרכב"|"חדד ניסים"|"520025479"
"177"|"קבוץ דורות בע מ"|"6"|"מוסך מורשה"|"ד.נ. חוף אשקלון"|"דורות"|"08-6808094"|"79175"|"10"|"מכונאות רכב בנזין"|"בר צבי ארי"|"570040683"
"177"|"קבוץ דורות בע מ"|"6"|"מוסך מורשה"|"ד.נ. חוף אשקלון"|"דורות"|"08-6808094"|"79175"|"20"|"מכונאות רכב דיזל"|"בר צבי ארי"|"570040683"
"177"|"קבוץ דורות בע מ"|"6"|"מוסך מורשה"|"ד.נ. חוף אשקלון"|"דורות"|"08-6808094"|"79175"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"בר צבי ארי"|"570040683"
"177"|"קבוץ דורות בע מ"|"6"|"מוסך מורשה"|"ד.נ. חוף אשקלון"|"דורות"|"08-6808094"|"79175"|"23"|"תיקון אחזקת רכב חשמלי/היברידי"|"בר צבי ארי"|"570040683"
"177"|"קבוץ דורות בע מ"|"6"|"מוסך מורשה"|"ד.נ. חוף אשקלון"|"דורות"|"08-6808094"|"79175"|"130"|"תיקון והחלפת צמיגים"|"בר צבי ארי"|"570040683"
"177"|"קבוץ דורות בע מ"|"6"|"מוסך מורשה"|"ד.נ. חוף אשקלון"|"דורות"|"08-6808094"|"79175"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"בר צבי ארי"|"570040683"
"177"|"קבוץ דורות בע מ"|"6"|"מוסך מורשה"|"ד.נ. חוף אשקלון"|"דורות"|"08-6808094"|"79175"|"190"|"טרקטורים ומכונות ניידות"|"בר צבי ארי"|"570040683"
"177"|"קבוץ דורות בע מ"|"6"|"מוסך מורשה"|"ד.נ. חוף אשקלון"|"דורות"|"08-6808094"|"79175"|"194"|"תיקון מלגזות הרמה"|"בר צבי ארי"|"570040683"
"177"|"קבוץ דורות בע מ"|"6"|"מוסך מורשה"|"ד.נ. חוף אשקלון"|"דורות"|"08-6808094"|"79175"|"205"|"שירות תיקון למזגן אויר לרכב"|"בר צבי ארי"|"570040683"
"196"|"מוסך אדיב ארמוזה בע מ"|"6"|"מוסך מורשה"|"רוממה הריקמה 7"|"ירושלים"|"02-5380340"|"94468"|"10"|"מכונאות רכב בנזין"|"אברהם מנחם"|"510997109"
"196"|"מוסך אדיב ארמוזה בע מ"|"6"|"מוסך מורשה"|"רוממה הריקמה 7"|"ירושלים"|"02-5380340"|"94468"|"20"|"מכונאות רכב דיזל"|"ארמוזה אלי"|"510997109"
"196"|"מוסך אדיב ארמוזה בע מ"|"6"|"מוסך מורשה"|"רוממה הריקמה 7"|"ירושלים"|"02-5380340"|"94468"|"30"|"חשמלאות רכב"|"אברהם מנחם"|"510997109"
"196"|"מוסך אדיב ארמוזה בע מ"|"6"|"מוסך מורשה"|"רוממה הריקמה 7"|"ירושלים"|"02-5380340"|"94468"|"70"|"תיקון מרכבי רכב"|"אברהם מנחם"|"510997109"
"196"|"מוסך אדיב ארמוזה בע מ"|"6"|"מוסך מורשה"|"רוממה הריקמה 7"|"ירושלים"|"02-5380340"|"94468"|"100"|"צבעות רכב"|"אברהם מנחם"|"510997109"
"196"|"מוסך אדיב ארמוזה בע מ"|"6"|"מוסך מורשה"|"רוממה הריקמה 7"|"ירושלים"|"02-5380340"|"94468"|"205"|"שירות תיקון למזגן אויר לרכב"|"אברהם מנחם"|"510997109"
"220"|"פלמח צובה מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ הרי יהודה"|"צובה"|"02-5347705"|"90870"|"10"|"מכונאות רכב בנזין"|"הדני יעקב"|"570007955"
"220"|"פלמח צובה מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ הרי יהודה"|"צובה"|"02-5347705"|"90870"|"20"|"מכונאות רכב דיזל"|"הדני יעקב"|"570007955"
"220"|"פלמח צובה מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ הרי יהודה"|"צובה"|"02-5347705"|"90870"|"130"|"תיקון והחלפת צמיגים"|"לוי יעקב"|"570007955"
"220"|"פלמח צובה מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ הרי יהודה"|"צובה"|"02-5347705"|"90870"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"יעקב הדני"|"570007955"
"220"|"פלמח צובה מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ הרי יהודה"|"צובה"|"02-5347705"|"90870"|"190"|"טרקטורים ומכונות ניידות"|"הדני יעקב"|"570007955"
"220"|"פלמח צובה מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ הרי יהודה"|"צובה"|"02-5347705"|"90870"|"194"|"תיקון מלגזות הרמה"|"הדני יעקב"|"570007955"
"220"|"פלמח צובה מוסך הקיבוץ"|"6"|"מוסך מורשה"|"דנ הרי יהודה"|"צובה"|"02-5347705"|"90870"|"205"|"שירות תיקון למזגן אויר לרכב"|"לוי יעקב"|"570007955"
"230"|"טרקטורים וציוד )אי.טי.אי( בע מ"|"6"|"מוסך מורשה"|"הכרמל 7"|"אילת"|"08-6316906"|"88100"|"15"|"אוטוטק רכב קל"|"ואטמכטר גיאורגי"|"512994051"
"230"|"טרקטורים וציוד )אי.טי.אי( בע מ"|"6"|"מוסך מורשה"|"הכרמל 7"|"אילת"|"08-6316906"|"88100"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"ואטמכטר גיאורגי"|"512994051"
