"vzRMeAg4Oi8__kl-trunc-name","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","YQ4gaf src","gqguwf"
"","","","מגנטים לאירועים ""יו מגנט""","· צלם","4.3","(7)","מעל 5 שנות פעילות ·","08-643-2780","פתוח ⋅ ייסגר בשעה 18:00","https://www.umagnet.co.il/","אתר","","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""מגנטים מושלמים תודה על הכל איזה כיף שיש מקצוענים כמוכם בתחום הצילום."""
"","","","צלם מגנטים ירושלים","· צלם","5.0","(2)","מעל 5 שנות פעילות ·","050-747-7425","","https://adirizhackpoor.github.io/magnet/","אתר","","","",""
"המגנט המיוחד - מגנטים לאירועים","4.9","(22)","המגנט המיוחד - מגנטים לאירועים","· צלם חתונות","4.9","(22)","מעל 3 שנות פעילות · נתניה ·","050-222-3282","פתוח 24 שעות","https://www.specialmagnet.co.il/","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
"זום אין צילום אירועים מגנטים","5.0","(3)","זום אין צילום אירועים מגנטים","· צלם חתונות","5.0","(3)","מעל 10 שנות פעילות · ירושלים ·","050-354-9594","פתוח ⋅ ייסגר בשעה 23:30","","","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""איציק ,תודה על זכרונות מארוע מקסים."""
"ניסן צילום מגנטים לאירועים","5.0","(28)","ניסן צילום מגנטים לאירועים","· צלם","5.0","(28)","מעל 7 שנות פעילות · נגבה ·","052-924-8655","פתוח 24 שעות","https://nissanhd.co.il/","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""היה קשוב, סבלני ויצאו אחלה מגנטים(:"""
"מסטיק הפקות","5.0","(48)","מסטיק הפקות","· צלם","5.0","(48)","מעל 3 שנות פעילות · קרית גת","","פתוח 24 שעות","https://www.mastikpro.com/","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAYAAABXAvmHAAACfUlEQVR4Ae3ZJ3DjUBAGYAnGOkGjM0kPTQ+N+Vzj9KrQ9ap2hXOezoGNEg4dZOMUdL3Xdz/YK9lZj1X2pYOPKHoz+8d63am/+HCknQbQchpAwSDcgiXYgA68Jx16tkTvDByWAFVIYRNMTpvUtnoQATwI4R2Ykt5BBN5+BTgPO2CU7cJFmwFciOAXGMFXaEAA8zAKPhmlZwE06F0j+AUxuNoB+mANjGAbrlChTkY+ten2S65Bn14AufjP8AQq4BRUgSfwuUsIVyNA2OV7nQVHySzsgmGisgHOC998C2rgKKtBS+gTF4sG8IRvdAfOgmNJTfgldsErEiAUvvkZcCybFfpEmDdAVZiknlgsmH/rT4TJrponQCoMlRVLxb8BA8/Y6MQ/3yRzAGFtc8Vq8QRScMhVPnhkDTDIGn6BM1aLl//LvjBjD2QJcIs1auxn8UyTvXMrS4Al1ig4iOJJwN5bzBJggzWaZ3+/DxO2iyd19u56lgAd1mgUHJLQs1cwYbN4Msbeb2cJ8J418lnx8DfEpK3iic/avFcLQF7DlKXi5QBKnxAPMa1fvPwJaXRiKcQbmFYpXqETi8NoxhAzisWLw6jmRCaH0Cu+8EQ2KGzW/ewh1IoXlxI2FnOJavEKizlpOb0DlawhFIoXl9O2NzSJTvEKGxoSCVvK2Z4hQGHB96XUlpJ4XTbYtSOxqSeXjuKxChfvw8HWnJWDLeJaPFr0IOTfPFkFV/NwdxWMYKfg4e5VamsEq1qHu1zY43i9CQHUYQx8MkbPAmj2OF6PTi84sh+Lq10xheAd1CVfwoe/jFqQaFzyaRmAW7AI69CG96RNzxZ1r1lPL7pPA5wG+A1WN9X/YeJQUwAAAABJRU5ErkJggg==","השירותים המוצעים:"
"צלם מגנטים","","","צלם מגנטים","אין ביקורות · צלם","","","מעל 5 שנות פעילות · ירושלים ·","055-885-4325","","https://shimonohana.wixsite.com/shimono","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
"קים צילום אירועים ומגנטים","5.0","(3)","קים צילום אירועים ומגנטים","· סטודיו לצילום","5.0","(3)","מעל 3 שנות פעילות · ירושלים ·","054-769-8403","פתוח 24 שעות","","","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
"מגנטים","5.0","(1)","מגנטים","· צלם","5.0","(1)","מעל 5 שנות פעילות · ירושלים","","פתוח 24 שעות","","","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
"מגנטולי-מגנטים לאירועים |צילום מגנטים |20% הנחה אירועים עד 120 איש.","4.8","(39)","מגנטולי-מגנטים לאירועים |צילום מגנטים |20% הנחה אירועים עד 120 איש.","· צלם חתונות","4.8","(39)","מעל 7 שנות פעילות · פרדס חנה כרכור ·","052-811-2724","פתוח 24 שעות","http://www.magnet2li.com/","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
"magnetstar מגנטסטאר צילום אירועים","5.0","(19)","magnetstar מגנטסטאר צילום אירועים","· צלם חתונות","5.0","(19)","מעל 7 שנות פעילות · רמת גן ·","079-572-3169","פתוח ⋅ ייסגר בשעה 19:00","https://magnetstar.co.il/","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAYAAABXAvmHAAACfUlEQVR4Ae3ZJ3DjUBAGYAnGOkGjM0kPTQ+N+Vzj9KrQ9ap2hXOezoGNEg4dZOMUdL3Xdz/YK9lZj1X2pYOPKHoz+8d63am/+HCknQbQchpAwSDcgiXYgA68Jx16tkTvDByWAFVIYRNMTpvUtnoQATwI4R2Ykt5BBN5+BTgPO2CU7cJFmwFciOAXGMFXaEAA8zAKPhmlZwE06F0j+AUxuNoB+mANjGAbrlChTkY+ten2S65Bn14AufjP8AQq4BRUgSfwuUsIVyNA2OV7nQVHySzsgmGisgHOC998C2rgKKtBS+gTF4sG8IRvdAfOgmNJTfgldsErEiAUvvkZcCybFfpEmDdAVZiknlgsmH/rT4TJrponQCoMlRVLxb8BA8/Y6MQ/3yRzAGFtc8Vq8QRScMhVPnhkDTDIGn6BM1aLl//LvjBjD2QJcIs1auxn8UyTvXMrS4Al1ig4iOJJwN5bzBJggzWaZ3+/DxO2iyd19u56lgAd1mgUHJLQs1cwYbN4Msbeb2cJ8J418lnx8DfEpK3iic/avFcLQF7DlKXi5QBKnxAPMa1fvPwJaXRiKcQbmFYpXqETi8NoxhAzisWLw6jmRCaH0Cu+8EQ2KGzW/ewh1IoXlxI2FnOJavEKizlpOb0DlawhFIoXl9O2NzSJTvEKGxoSCVvK2Z4hQGHB96XUlpJ4XTbYtSOxqSeXjuKxChfvw8HWnJWDLeJaPFr0IOTfPFkFV/NwdxWMYKfg4e5VamsEq1qHu1zY43i9CQHUYQx8MkbPAmj2OF6PTi84sh+Lq10xheAd1CVfwoe/jFqQaFzyaRmAW7AI69CG96RNzxZ1r1lPL7pPA5wG+A1WN9X/YeJQUwAAAABJRU5ErkJggg==","השירותים המוצעים: צלם לבר/ת מצווה חבילות צילום כולל הכל תמונות מגנטים צילום 
וידאו כולל בוק דיגיטלי כולל צילומי חוץ"
"","","","","","","","","","","","","","","",""
"תהילה משכן","","","תהילה משכן","צלם","","","ירושלים","","פתוח ⋅ ייסגר בשעה 22:00","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiE-q-O2tD8AhV9j2gJHeH2DnQYABAHGgJ3Zg&ohost=www.google.com&cid=CAESbeD26xskYeUED5Y15VNWXt_UbvWqNYESxx9d9hcxVMlJDkiGeUpWvSceZWeCgqVNaXKkpjxAdnfqTrv4fyGplKs2JuF475js96ACFriZCW33MGun1U8R9MmlD7ucozBp3j6CWGZNPsjpfDpumIE&sig=AOD64_3aLAJTB6AfoH7BuqsuzGx4iiAL8Q&q=&ctype=99&ved=2ahUKEwil2aiO2tD8AhXpXfEDHUvZDSc4FBCErAF6BAgCEBA&adurl=","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
"הפקות 9.9 - צילום אירועים","4.7","(30)","הפקות 9.9 - צילום אירועים","· סטודיו לצילום","4.7","(30)","מעל 10 שנות פעילות · רחובות ·","050-941-5772","פתוח 24 שעות","https://www.99p.co.il/","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:"
"מגנטורי","5.0","(10)","מגנטורי","· צלם","5.0","(10)","מעל 15 שנות פעילות · גבעתיים ·","050-929-0052","פתוח 24 שעות","http://www.magnetory.co.il/","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
"מגנטים לאירועים","4.8","(5)","מגנטים לאירועים","· צלם","4.8","(5)","מעל 5 שנות פעילות · רחובות ·","055-885-4325","פתוח 24 שעות","https://shimonohana.wixsite.com/shimono","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""תמונה באמת שווה אלף מילים ."""
"","","","צילום אירועים מקצועי - כולל מגנטים, תמונות על עץ ועוד","· סטודיו לצילום","5.0","(27)","מעל 5 שנות פעילות ·","054-316-6916","פתוח 24 שעות","http://www.shmulik-hazan.co.il/","אתר","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""צלם מעולה, מקצועי, יחס אישי ומגנטים רבים."""
"צלם מגנטים לאירועים נתניה","5.0","(31)","צלם מגנטים לאירועים נתניה","· צלם חתונות","5.0","(31)","נתניה ·","050-630-0163","פתוח ⋅ ייסגר בשעה 0:00","https://weddingmagnet.business.site/?utm_source=gmb&utm_medium=referral","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""אוהד צלם מקצועי מעולה נח ונעים הליכות."""
