"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","vzRMeAg4Oi8__kl-trunc-name","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","YQ4gaf src","gqguwf","gqguwf 2"
"רזולי - DJ RAZULII - שירותי מוזיקה לחתונות ואירועים פרטיים ועסקיים מס 1 בישראל - תקליטן לחתונה - מוזיקה לאירועים","· תקליטן","5.0","(114)","052-604-2020","מעל 10 שנות פעילות · תל אביב-יפו ·","פתוח 24 שעות","http://itsrazulii.com/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","רזולי - DJ RAZULII - שירותי מוזיקה לחתונות ואירועים פרטיים ועסקיים מס 1 בישראל - תקליטן לחתונה - מוזיקה לאירועים","5.0","(114)","","",""
"DJ עומרי חיים: תקליטן, DJ לחתונות, DJ לאירועים","· תקליטן","5.0","(1)","052-727-2342","פתח תקווה ·","פתוח 24 שעות","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","DJ עומרי חיים: תקליטן, DJ לחתונות, DJ לאירועים","5.0","(1)","","",""
"Dj Yakir Meg Music for Event| דיג'יי יקיר מג מוזיקה לאירועים","· תקליטן","5.0","(3)","050-909-9429","פתוח 24 שעות","","https://dj-yakir-meg-music-for-event.business.site/?utm_source=gmb&utm_medium=referral","אתר","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""מקצועי ברמה אחרת ושירות מעולה!""",""
"DJ Yoel Mamou","· תקליטן","5.0","(2)","050-956-6335","ירושלים ·","פתוח 24 שעות","https://linkfly.to/5010714aIxq","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","DJ Yoel Mamou","5.0","(2)","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","שירותי אודיו/וידאו לאירועים מיוחדים"
"DJ Picho-שירותי מוזיקה לאירועים","· תקליטן","5.0","(10)","058-666-7941","פתוח 24 שעות","","https://www.instagram.com/dj.picho/","אתר","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""אחלה אירוע והפעלה של הילדים נועם - תודה!""",""
"די ג'י אדיר שרפי","אין ביקורות · תקליטן","","","052-633-3320","מעל 3 שנות פעילות · תל אביב-יפו ·","","https://card.waller.co.il/c/dj-adir-sharfi/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","די ג'י אדיר שרפי","","","","",""
"Mayo music : By Dj Shimi Green","· תקליטן","5.0","(88)","054-463-1737","מעל 10 שנות פעילות · תל אביב-יפו ·","פתוח 24 שעות","http://mayomusic.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","Mayo music : By Dj Shimi Green","5.0","(88)","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים: Dj לחתונה . DJ בשילוב נגן לקבלת פנים. אפטר פארטי (ייחודי 
בארץ)",""
"Swing Dj's | דיג׳יי לחתונה","· תקליטן","4.6","(10)","052-522-2811","תל אביב-יפו ·","פתוח ⋅ ייסגר בשעה 18:30","https://www.swingdjs.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","Swing Dj's | דיג׳יי לחתונה","4.6","(10)","","",""
"תקליטן לחתונות במרכז די ג'יי No-Limit dj","· תקליטן","5.0","(15)","052-358-6464","מעל 3 שנות פעילות ·","פתוח 24 שעות","https://no-limit.co.il/","אתר","","","","","","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","Event lighting services"
"דיג'יי אבירן ששונקר | תקליטן לאירועים | Dj Aviran Sassonker","· תקליטן","4.0","(3)","054-691-9169","מעל 3 שנות פעילות ·","פתוח ⋅ ייסגר בשעה 23:00","https://www.djaviran.co.il/","אתר","","","","","","","",""
"שרון כהן | די ג'יי לחתונה | תקליטן לחתונה","· תקליטן","5.0","(8)","054-485-0419","מעל 3 שנות פעילות · רמת גן ·","פתוח ⋅ ייסגר בשעה 15:00","http://www.dj.yalla.co.il/store/169086","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","שרון כהן | די ג'יי לחתונה | תקליטן לחתונה","5.0","(8)","","",""
"תקליטן לחתונה - DJ KFIR W | די ג'יי לחתונות ואירועים","· תקליטן","5.0","(1)","054-464-0409","מעל 3 שנות פעילות · קרית עקרון ·","","https://www.kfirw.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","תקליטן לחתונה - DJ KFIR W | די ג'יי לחתונות ואירועים","5.0","(1)","","",""
"שי כהן מוסיקה לאירועים","· תקליטן","5.0","(4)","052-233-3292","מעל 3 שנות פעילות · קרית גת ·","","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","שי כהן מוסיקה לאירועים","5.0","(4)","","",""
"אודותיי - DJ לאירועים","אין ביקורות · תקליטן","","","050-852-1404","מעל 3 שנות פעילות · בני ברק ·","","","","","","אודותיי - DJ לאירועים","","","","",""
"WE RAVE - דיג׳יי שחק ארבל מוזיקה לחתונות","· תקליטן","5.0","(3)","052-735-8333","מעל 15 שנות פעילות · תל אביב-יפו ·","פתוח 24 שעות","http://www.werave.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","WE RAVE - דיג׳יי שחק ארבל מוזיקה לחתונות","5.0","(3)","","",""
"אבי דויטש - קלידן מקצועי ותזמורת לאירועים","· תקליטן","5.0","(9)","בית שמש ·","052-714-3554","פתוח 24 שעות","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","אבי דויטש - קלידן מקצועי ותזמורת לאירועים","5.0","(9)","","",""
"DJ איתמר גבע - שירותי מוסיקה לאירועים","· תקליטן","5.0","(2)","052-396-6111","מעל 20 שנות פעילות · גבעתיים ·","פתוח 24 שעות","https://www.djitamargeva.com/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","DJ איתמר גבע - שירותי מוסיקה לאירועים","5.0","(2)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""מומלץ בחום, בשביל אירוע איכותי וכיפי!""",""
"יובל ירון | די ג'יי מתופף לאירועים","אין ביקורות · תקליטן","","","050-275-9090","מעל 3 שנות פעילות ·","פתוח 24 שעות","https://www.yuvalyaron.co.il/","אתר","","","","","","","",""
"Yakov Libman DJ Israël","· תקליטן","5.0","(1)","050-699-9540","פתוח ⋅ ייסגר בשעה 1:00","","https://yakov-libman-dj-israel.business.site/?utm_source=gmb&utm_medium=referral","אתר","","","","","","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","Event lighting services"
"יוסי פיטוסי מוזיקה לאירועים","אין ביקורות · תקליטן","","","050-908-5888","פתח תקווה ·","פתוח 24 שעות","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","יוסי פיטוסי מוזיקה לאירועים","","","","",""
"פוקסי מיוזיק - מוזיקה לאירועים","· תקליטן","5.0","(23)","03-540-1886","מעל 10 שנות פעילות · תל אביב-יפו ·","פתוח 24 שעות","http://www.foxymusic.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","פוקסי מיוזיק - מוזיקה לאירועים","5.0","(23)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""זה רעיון אדיר ואנשים ממש נדלקו עליו ושיתפו פעולה.""",""
"סוקויה מוסיקה לאירועים | SOKOYA MUSIC","אין ביקורות · תקליטן","","","054-313-1421","מעל 5 שנות פעילות · יהוד ·","פתוח 24 שעות","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","סוקויה מוסיקה לאירועים | SOKOYA MUSIC","","","","",""
"פרי טובול - דיג'יי לחתונה","· תקליטן","5.0","(1)","052-747-5111","מעל 3 שנות פעילות · יבנה ·","פתוח 24 שעות","http://www.peritubul.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","פרי טובול - דיג'יי לחתונה","5.0","(1)","","",""
"די ג'יי אבירם חיים | די ג'יי לחתונה","· תקליטן","5.0","(2)","050-689-2722","רמת השרון ·","פתוח ⋅ ייסגר בשעה 2:00","https://djaviram.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","די ג'יי אבירם חיים | די ג'יי לחתונה","5.0","(2)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""תקלט לי בחתונה על 2 רחבות
עד 12 בלילה הרים את הקהל והחזיק אותם קצר ברחבה.""",""
"רון משה מוסיקה והגברה לאירועים","· תקליטן","5.0","(6)","054-398-2839","מעל 10 שנות פעילות ·","פתוח 24 שעות","http://ronmoshe.co.il/","אתר","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""תפר לנו פלייליסט לאירוע בדיוק רב, ובהתאם לבקשה שלנו.""",""
"שימי אוחיון | די ג'יי לחתונה | תקליטן לחתונה","· תקליטן","5.0","(22)","050-600-0353","מעל 20 שנות פעילות · ראשון לציון ·","פתוח 24 שעות","http://www.klamos.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","שימי אוחיון | די ג'יי לחתונה | תקליטן לחתונה","5.0","(22)","","",""
"דיג'יי צחי משיח","· תקליטן","5.0","(1)","050-838-1867","מעל 10 שנות פעילות · ראשון לציון ·","","https://djzahi.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","דיג'יי צחי משיח","5.0","(1)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""אם אתם מתחתנים זה רק צחי משיח""",""
